model,production_week,market,units
Civic,-26,UK,149
Civic,-26,Germany,118
Civic,-26,France,87
Civic,-26,Spain,99
Civic,-26,Belgium,62
Civic,-26,Poland,83
Civic,-26,Nordics,74
CR-V,-26,UK,149
CR-V,-26,Germany,118
CR-V,-26,France,87
CR-V,-26,Spain,99
CR-V,-26,Belgium,62
CR-V,-26,Poland,83
CR-V,-26,Nordics,74
HR-V,-26,UK,74
HR-V,-26,Germany,59
HR-V,-26,France,43
HR-V,-26,Spain,50
HR-V,-26,Belgium,31
HR-V,-26,Poland,42
HR-V,-26,Nordics,37
Jazz,-26,UK,89
Jazz,-26,Germany,71
Jazz,-26,France,52
Jazz,-26,Spain,59
Jazz,-26,Belgium,37
Jazz,-26,Poland,50
Jazz,-26,Nordics,45
e:Ny1,-26,UK,38
e:Ny1,-26,Germany,30
e:Ny1,-26,France,22
e:Ny1,-26,Belgium,16
e:Ny1,-26,Nordics,19
Civic,-25,UK,188
Civic,-25,Germany,149
Civic,-25,France,109
Civic,-25,Italy,141
Civic,-25,Netherlands,94
CR-V,-25,UK,188
CR-V,-25,Germany,149
CR-V,-25,France,109
CR-V,-25,Italy,141
CR-V,-25,Netherlands,94
HR-V,-25,UK,94
HR-V,-25,Germany,74
HR-V,-25,France,55
HR-V,-25,Italy,70
HR-V,-25,Netherlands,47
Jazz,-25,UK,113
Jazz,-25,Germany,89
Jazz,-25,France,66
Jazz,-25,Italy,85
Jazz,-25,Netherlands,56
e:Ny1,-25,UK,45
e:Ny1,-25,Germany,36
e:Ny1,-25,France,26
e:Ny1,-25,Netherlands,23
Civic,-24,UK,152
Civic,-24,Germany,121
Civic,-24,France,89
Civic,-24,Spain,101
Civic,-24,Belgium,63
Civic,-24,Nordics,76
Civic,-24,Portugal,86
CR-V,-24,UK,152
CR-V,-24,Germany,121
CR-V,-24,France,89
CR-V,-24,Spain,101
CR-V,-24,Belgium,63
CR-V,-24,Nordics,76
CR-V,-24,Portugal,86
HR-V,-24,UK,76
HR-V,-24,Germany,60
HR-V,-24,France,44
HR-V,-24,Spain,51
HR-V,-24,Belgium,32
HR-V,-24,Nordics,38
HR-V,-24,Portugal,43
Jazz,-24,UK,91
Jazz,-24,Germany,72
Jazz,-24,France,53
Jazz,-24,Spain,61
Jazz,-24,Belgium,38
Jazz,-24,Nordics,46
Jazz,-24,Portugal,51
