model,market,calendar_week,week_start_date,demand_units
Civic,UK,-26,2026-02-09,164
Civic,Germany,-26,2026-02-09,130
Civic,France,-26,2026-02-09,96
Civic,Italy,-26,2026-02-09,62
Civic,Spain,-26,2026-02-09,55
Civic,Netherlands,-26,2026-02-09,41
Civic,Belgium,-26,2026-02-09,34
Civic,Poland,-26,2026-02-09,31
Civic,Nordics,-26,2026-02-09,41
Civic,Portugal,-26,2026-02-09,31
CR-V,UK,-26,2026-02-09,164
CR-V,Germany,-26,2026-02-09,130
CR-V,France,-26,2026-02-09,96
CR-V,Italy,-26,2026-02-09,62
CR-V,Spain,-26,2026-02-09,55
CR-V,Netherlands,-26,2026-02-09,41
CR-V,Belgium,-26,2026-02-09,34
CR-V,Poland,-26,2026-02-09,31
CR-V,Nordics,-26,2026-02-09,41
CR-V,Portugal,-26,2026-02-09,31
HR-V,UK,-26,2026-02-09,82
HR-V,Germany,-26,2026-02-09,65
HR-V,France,-26,2026-02-09,48
HR-V,Italy,-26,2026-02-09,31
HR-V,Spain,-26,2026-02-09,27
HR-V,Netherlands,-26,2026-02-09,21
HR-V,Belgium,-26,2026-02-09,17
HR-V,Poland,-26,2026-02-09,15
HR-V,Nordics,-26,2026-02-09,21
HR-V,Portugal,-26,2026-02-09,15
Jazz,UK,-26,2026-02-09,99
Jazz,Germany,-26,2026-02-09,78
Jazz,France,-26,2026-02-09,58
Jazz,Italy,-26,2026-02-09,37
Jazz,Spain,-26,2026-02-09,33
Jazz,Netherlands,-26,2026-02-09,25
Jazz,Belgium,-26,2026-02-09,21
Jazz,Poland,-26,2026-02-09,18
Jazz,Nordics,-26,2026-02-09,25
Jazz,Portugal,-26,2026-02-09,18
e:Ny1,UK,-26,2026-02-09,41
e:Ny1,Germany,-26,2026-02-09,33
e:Ny1,France,-26,2026-02-09,24
e:Ny1,Italy,-26,2026-02-09,0
e:Ny1,Spain,-26,2026-02-09,0
e:Ny1,Netherlands,-26,2026-02-09,10
e:Ny1,Belgium,-26,2026-02-09,9
e:Ny1,Poland,-26,2026-02-09,0
e:Ny1,Nordics,-26,2026-02-09,10
e:Ny1,Portugal,-26,2026-02-09,0
Civic,UK,-25,2026-02-16,164
Civic,Germany,-25,2026-02-16,130
Civic,France,-25,2026-02-16,96
Civic,Italy,-25,2026-02-16,62
Civic,Spain,-25,2026-02-16,55
Civic,Netherlands,-25,2026-02-16,41
Civic,Belgium,-25,2026-02-16,34
Civic,Poland,-25,2026-02-16,31
Civic,Nordics,-25,2026-02-16,41
Civic,Portugal,-25,2026-02-16,31
CR-V,UK,-25,2026-02-16,164
CR-V,Germany,-25,2026-02-16,130
CR-V,France,-25,2026-02-16,96
CR-V,Italy,-25,2026-02-16,62
CR-V,Spain,-25,2026-02-16,55
CR-V,Netherlands,-25,2026-02-16,41
CR-V,Belgium,-25,2026-02-16,34
CR-V,Poland,-25,2026-02-16,31
CR-V,Nordics,-25,2026-02-16,41
CR-V,Portugal,-25,2026-02-16,31
HR-V,UK,-25,2026-02-16,82
HR-V,Germany,-25,2026-02-16,65
HR-V,France,-25,2026-02-16,48
HR-V,Italy,-25,2026-02-16,31
HR-V,Spain,-25,2026-02-16,27
HR-V,Netherlands,-25,2026-02-16,21
HR-V,Belgium,-25,2026-02-16,17
HR-V,Poland,-25,2026-02-16,15
HR-V,Nordics,-25,2026-02-16,21
HR-V,Portugal,-25,2026-02-16,15
Jazz,UK,-25,2026-02-16,98
Jazz,Germany,-25,2026-02-16,78
Jazz,France,-25,2026-02-16,57
Jazz,Italy,-25,2026-02-16,37
Jazz,Spain,-25,2026-02-16,33
Jazz,Netherlands,-25,2026-02-16,25
Jazz,Belgium,-25,2026-02-16,21
Jazz,Poland,-25,2026-02-16,18
Jazz,Nordics,-25,2026-02-16,25
Jazz,Portugal,-25,2026-02-16,18
e:Ny1,UK,-25,2026-02-16,42
e:Ny1,Germany,-25,2026-02-16,33
e:Ny1,France,-25,2026-02-16,25
e:Ny1,Italy,-25,2026-02-16,0
e:Ny1,Spain,-25,2026-02-16,0
e:Ny1,Netherlands,-25,2026-02-16,11
e:Ny1,Belgium,-25,2026-02-16,9
e:Ny1,Poland,-25,2026-02-16,0
e:Ny1,Nordics,-25,2026-02-16,11
e:Ny1,Portugal,-25,2026-02-16,0
Civic,UK,-24,2026-02-23,164
Civic,Germany,-24,2026-02-23,130
Civic,France,-24,2026-02-23,96
Civic,Italy,-24,2026-02-23,61
Civic,Spain,-24,2026-02-23,55
Civic,Netherlands,-24,2026-02-23,41
Civic,Belgium,-24,2026-02-23,34
Civic,Poland,-24,2026-02-23,31
Civic,Nordics,-24,2026-02-23,41
Civic,Portugal,-24,2026-02-23,31
CR-V,UK,-24,2026-02-23,164
CR-V,Germany,-24,2026-02-23,130
CR-V,France,-24,2026-02-23,96
CR-V,Italy,-24,2026-02-23,61
CR-V,Spain,-24,2026-02-23,55
CR-V,Netherlands,-24,2026-02-23,41
CR-V,Belgium,-24,2026-02-23,34
CR-V,Poland,-24,2026-02-23,31
CR-V,Nordics,-24,2026-02-23,41
CR-V,Portugal,-24,2026-02-23,31
HR-V,UK,-24,2026-02-23,82
HR-V,Germany,-24,2026-02-23,65
HR-V,France,-24,2026-02-23,48
HR-V,Italy,-24,2026-02-23,31
HR-V,Spain,-24,2026-02-23,27
HR-V,Netherlands,-24,2026-02-23,20
HR-V,Belgium,-24,2026-02-23,17
HR-V,Poland,-24,2026-02-23,15
HR-V,Nordics,-24,2026-02-23,20
HR-V,Portugal,-24,2026-02-23,15
Jazz,UK,-24,2026-02-23,98
Jazz,Germany,-24,2026-02-23,78
Jazz,France,-24,2026-02-23,57
Jazz,Italy,-24,2026-02-23,37
Jazz,Spain,-24,2026-02-23,33
Jazz,Netherlands,-24,2026-02-23,25
Jazz,Belgium,-24,2026-02-23,20
Jazz,Poland,-24,2026-02-23,18
Jazz,Nordics,-24,2026-02-23,25
Jazz,Portugal,-24,2026-02-23,18
e:Ny1,UK,-24,2026-02-23,43
e:Ny1,Germany,-24,2026-02-23,34
e:Ny1,France,-24,2026-02-23,25
e:Ny1,Italy,-24,2026-02-23,0
e:Ny1,Spain,-24,2026-02-23,0
e:Ny1,Netherlands,-24,2026-02-23,11
e:Ny1,Belgium,-24,2026-02-23,9
e:Ny1,Poland,-24,2026-02-23,0
e:Ny1,Nordics,-24,2026-02-23,11
e:Ny1,Portugal,-24,2026-02-23,0
Civic,UK,-23,2026-03-02,229
Civic,Germany,-23,2026-03-02,130
Civic,France,-23,2026-03-02,95
Civic,Italy,-23,2026-03-02,61
Civic,Spain,-23,2026-03-02,55
Civic,Netherlands,-23,2026-03-02,41
Civic,Belgium,-23,2026-03-02,34
Civic,Poland,-23,2026-03-02,31
Civic,Nordics,-23,2026-03-02,41
Civic,Portugal,-23,2026-03-02,31
CR-V,UK,-23,2026-03-02,229
CR-V,Germany,-23,2026-03-02,130
CR-V,France,-23,2026-03-02,95
CR-V,Italy,-23,2026-03-02,61
CR-V,Spain,-23,2026-03-02,55
CR-V,Netherlands,-23,2026-03-02,41
CR-V,Belgium,-23,2026-03-02,34
CR-V,Poland,-23,2026-03-02,31
CR-V,Nordics,-23,2026-03-02,41
CR-V,Portugal,-23,2026-03-02,31
HR-V,UK,-23,2026-03-02,115
HR-V,Germany,-23,2026-03-02,65
HR-V,France,-23,2026-03-02,48
HR-V,Italy,-23,2026-03-02,31
HR-V,Spain,-23,2026-03-02,27
HR-V,Netherlands,-23,2026-03-02,20
HR-V,Belgium,-23,2026-03-02,17
HR-V,Poland,-23,2026-03-02,15
HR-V,Nordics,-23,2026-03-02,20
HR-V,Portugal,-23,2026-03-02,15
Jazz,UK,-23,2026-03-02,137
Jazz,Germany,-23,2026-03-02,78
Jazz,France,-23,2026-03-02,57
Jazz,Italy,-23,2026-03-02,37
Jazz,Spain,-23,2026-03-02,33
Jazz,Netherlands,-23,2026-03-02,25
Jazz,Belgium,-23,2026-03-02,20
Jazz,Poland,-23,2026-03-02,18
Jazz,Nordics,-23,2026-03-02,25
Jazz,Portugal,-23,2026-03-02,18
e:Ny1,UK,-23,2026-03-02,62
e:Ny1,Germany,-23,2026-03-02,35
e:Ny1,France,-23,2026-03-02,26
e:Ny1,Italy,-23,2026-03-02,0
e:Ny1,Spain,-23,2026-03-02,0
e:Ny1,Netherlands,-23,2026-03-02,11
e:Ny1,Belgium,-23,2026-03-02,9
e:Ny1,Poland,-23,2026-03-02,0
e:Ny1,Nordics,-23,2026-03-02,11
e:Ny1,Portugal,-23,2026-03-02,0
Civic,UK,-22,2026-03-09,229
Civic,Germany,-22,2026-03-09,129
Civic,France,-22,2026-03-09,95
Civic,Italy,-22,2026-03-09,61
Civic,Spain,-22,2026-03-09,54
Civic,Netherlands,-22,2026-03-09,41
Civic,Belgium,-22,2026-03-09,34
Civic,Poland,-22,2026-03-09,31
Civic,Nordics,-22,2026-03-09,41
Civic,Portugal,-22,2026-03-09,31
CR-V,UK,-22,2026-03-09,229
CR-V,Germany,-22,2026-03-09,129
CR-V,France,-22,2026-03-09,95
CR-V,Italy,-22,2026-03-09,61
CR-V,Spain,-22,2026-03-09,54
CR-V,Netherlands,-22,2026-03-09,41
CR-V,Belgium,-22,2026-03-09,34
CR-V,Poland,-22,2026-03-09,31
CR-V,Nordics,-22,2026-03-09,41
CR-V,Portugal,-22,2026-03-09,31
HR-V,UK,-22,2026-03-09,114
HR-V,Germany,-22,2026-03-09,65
HR-V,France,-22,2026-03-09,48
HR-V,Italy,-22,2026-03-09,31
HR-V,Spain,-22,2026-03-09,27
HR-V,Netherlands,-22,2026-03-09,20
HR-V,Belgium,-22,2026-03-09,17
HR-V,Poland,-22,2026-03-09,15
HR-V,Nordics,-22,2026-03-09,20
HR-V,Portugal,-22,2026-03-09,15
Jazz,UK,-22,2026-03-09,137
Jazz,Germany,-22,2026-03-09,78
Jazz,France,-22,2026-03-09,57
Jazz,Italy,-22,2026-03-09,37
Jazz,Spain,-22,2026-03-09,33
Jazz,Netherlands,-22,2026-03-09,25
Jazz,Belgium,-22,2026-03-09,20
Jazz,Poland,-22,2026-03-09,18
Jazz,Nordics,-22,2026-03-09,25
Jazz,Portugal,-22,2026-03-09,18
e:Ny1,UK,-22,2026-03-09,63
e:Ny1,Germany,-22,2026-03-09,36
e:Ny1,France,-22,2026-03-09,26
e:Ny1,Italy,-22,2026-03-09,0
e:Ny1,Spain,-22,2026-03-09,0
e:Ny1,Netherlands,-22,2026-03-09,11
e:Ny1,Belgium,-22,2026-03-09,9
e:Ny1,Poland,-22,2026-03-09,0
e:Ny1,Nordics,-22,2026-03-09,11
e:Ny1,Portugal,-22,2026-03-09,0
Civic,UK,-21,2026-03-16,229
Civic,Germany,-21,2026-03-16,129
Civic,France,-21,2026-03-16,95
Civic,Italy,-21,2026-03-16,61
Civic,Spain,-21,2026-03-16,54
Civic,Netherlands,-21,2026-03-16,41
Civic,Belgium,-21,2026-03-16,34
Civic,Poland,-21,2026-03-16,31
Civic,Nordics,-21,2026-03-16,41
Civic,Portugal,-21,2026-03-16,31
CR-V,UK,-21,2026-03-16,229
CR-V,Germany,-21,2026-03-16,129
CR-V,France,-21,2026-03-16,95
CR-V,Italy,-21,2026-03-16,61
CR-V,Spain,-21,2026-03-16,54
CR-V,Netherlands,-21,2026-03-16,41
CR-V,Belgium,-21,2026-03-16,34
CR-V,Poland,-21,2026-03-16,31
CR-V,Nordics,-21,2026-03-16,41
CR-V,Portugal,-21,2026-03-16,31
HR-V,UK,-21,2026-03-16,114
HR-V,Germany,-21,2026-03-16,65
HR-V,France,-21,2026-03-16,48
HR-V,Italy,-21,2026-03-16,31
HR-V,Spain,-21,2026-03-16,27
HR-V,Netherlands,-21,2026-03-16,20
HR-V,Belgium,-21,2026-03-16,17
HR-V,Poland,-21,2026-03-16,15
HR-V,Nordics,-21,2026-03-16,20
HR-V,Portugal,-21,2026-03-16,15
Jazz,UK,-21,2026-03-16,137
Jazz,Germany,-21,2026-03-16,78
Jazz,France,-21,2026-03-16,57
Jazz,Italy,-21,2026-03-16,37
Jazz,Spain,-21,2026-03-16,33
Jazz,Netherlands,-21,2026-03-16,24
Jazz,Belgium,-21,2026-03-16,20
Jazz,Poland,-21,2026-03-16,18
Jazz,Nordics,-21,2026-03-16,24
Jazz,Portugal,-21,2026-03-16,18
e:Ny1,UK,-21,2026-03-16,64
e:Ny1,Germany,-21,2026-03-16,36
e:Ny1,France,-21,2026-03-16,27
e:Ny1,Italy,-21,2026-03-16,0
e:Ny1,Spain,-21,2026-03-16,0
e:Ny1,Netherlands,-21,2026-03-16,11
e:Ny1,Belgium,-21,2026-03-16,10
e:Ny1,Poland,-21,2026-03-16,0
e:Ny1,Nordics,-21,2026-03-16,11
e:Ny1,Portugal,-21,2026-03-16,0
Civic,UK,-20,2026-03-23,228
Civic,Germany,-20,2026-03-23,129
Civic,France,-20,2026-03-23,95
Civic,Italy,-20,2026-03-23,61
Civic,Spain,-20,2026-03-23,54
Civic,Netherlands,-20,2026-03-23,41
Civic,Belgium,-20,2026-03-23,34
Civic,Poland,-20,2026-03-23,31
Civic,Nordics,-20,2026-03-23,41
Civic,Portugal,-20,2026-03-23,31
CR-V,UK,-20,2026-03-23,228
CR-V,Germany,-20,2026-03-23,129
CR-V,France,-20,2026-03-23,95
CR-V,Italy,-20,2026-03-23,61
CR-V,Spain,-20,2026-03-23,54
CR-V,Netherlands,-20,2026-03-23,41
CR-V,Belgium,-20,2026-03-23,34
CR-V,Poland,-20,2026-03-23,31
CR-V,Nordics,-20,2026-03-23,41
CR-V,Portugal,-20,2026-03-23,31
HR-V,UK,-20,2026-03-23,114
HR-V,Germany,-20,2026-03-23,65
HR-V,France,-20,2026-03-23,48
HR-V,Italy,-20,2026-03-23,31
HR-V,Spain,-20,2026-03-23,27
HR-V,Netherlands,-20,2026-03-23,20
HR-V,Belgium,-20,2026-03-23,17
HR-V,Poland,-20,2026-03-23,15
HR-V,Nordics,-20,2026-03-23,20
HR-V,Portugal,-20,2026-03-23,15
Jazz,UK,-20,2026-03-23,137
Jazz,Germany,-20,2026-03-23,77
Jazz,France,-20,2026-03-23,57
Jazz,Italy,-20,2026-03-23,37
Jazz,Spain,-20,2026-03-23,33
Jazz,Netherlands,-20,2026-03-23,24
Jazz,Belgium,-20,2026-03-23,20
Jazz,Poland,-20,2026-03-23,18
Jazz,Nordics,-20,2026-03-23,24
Jazz,Portugal,-20,2026-03-23,18
e:Ny1,UK,-20,2026-03-23,66
e:Ny1,Germany,-20,2026-03-23,37
e:Ny1,France,-20,2026-03-23,27
e:Ny1,Italy,-20,2026-03-23,0
e:Ny1,Spain,-20,2026-03-23,0
e:Ny1,Netherlands,-20,2026-03-23,12
e:Ny1,Belgium,-20,2026-03-23,10
e:Ny1,Poland,-20,2026-03-23,0
e:Ny1,Nordics,-20,2026-03-23,12
e:Ny1,Portugal,-20,2026-03-23,0
Civic,UK,-19,2026-03-30,228
Civic,Germany,-19,2026-03-30,129
Civic,France,-19,2026-03-30,95
Civic,Italy,-19,2026-03-30,61
Civic,Spain,-19,2026-03-30,54
Civic,Netherlands,-19,2026-03-30,41
Civic,Belgium,-19,2026-03-30,34
Civic,Poland,-19,2026-03-30,31
Civic,Nordics,-19,2026-03-30,41
Civic,Portugal,-19,2026-03-30,31
CR-V,UK,-19,2026-03-30,228
CR-V,Germany,-19,2026-03-30,129
CR-V,France,-19,2026-03-30,95
CR-V,Italy,-19,2026-03-30,61
CR-V,Spain,-19,2026-03-30,54
CR-V,Netherlands,-19,2026-03-30,41
CR-V,Belgium,-19,2026-03-30,34
CR-V,Poland,-19,2026-03-30,31
CR-V,Nordics,-19,2026-03-30,41
CR-V,Portugal,-19,2026-03-30,31
HR-V,UK,-19,2026-03-30,114
HR-V,Germany,-19,2026-03-30,64
HR-V,France,-19,2026-03-30,47
HR-V,Italy,-19,2026-03-30,31
HR-V,Spain,-19,2026-03-30,27
HR-V,Netherlands,-19,2026-03-30,20
HR-V,Belgium,-19,2026-03-30,17
HR-V,Poland,-19,2026-03-30,15
HR-V,Nordics,-19,2026-03-30,20
HR-V,Portugal,-19,2026-03-30,15
Jazz,UK,-19,2026-03-30,137
Jazz,Germany,-19,2026-03-30,77
Jazz,France,-19,2026-03-30,57
Jazz,Italy,-19,2026-03-30,37
Jazz,Spain,-19,2026-03-30,33
Jazz,Netherlands,-19,2026-03-30,24
Jazz,Belgium,-19,2026-03-30,20
Jazz,Poland,-19,2026-03-30,18
Jazz,Nordics,-19,2026-03-30,24
Jazz,Portugal,-19,2026-03-30,18
e:Ny1,UK,-19,2026-03-30,67
e:Ny1,Germany,-19,2026-03-30,38
e:Ny1,France,-19,2026-03-30,28
e:Ny1,Italy,-19,2026-03-30,0
e:Ny1,Spain,-19,2026-03-30,0
e:Ny1,Netherlands,-19,2026-03-30,12
e:Ny1,Belgium,-19,2026-03-30,10
e:Ny1,Poland,-19,2026-03-30,0
e:Ny1,Nordics,-19,2026-03-30,12
e:Ny1,Portugal,-19,2026-03-30,0
Civic,UK,-18,2026-04-06,163
Civic,Germany,-18,2026-04-06,129
Civic,France,-18,2026-04-06,95
Civic,Italy,-18,2026-04-06,61
Civic,Spain,-18,2026-04-06,54
Civic,Netherlands,-18,2026-04-06,41
Civic,Belgium,-18,2026-04-06,34
Civic,Poland,-18,2026-04-06,30
Civic,Nordics,-18,2026-04-06,41
Civic,Portugal,-18,2026-04-06,30
CR-V,UK,-18,2026-04-06,163
CR-V,Germany,-18,2026-04-06,129
CR-V,France,-18,2026-04-06,95
CR-V,Italy,-18,2026-04-06,61
CR-V,Spain,-18,2026-04-06,54
CR-V,Netherlands,-18,2026-04-06,41
CR-V,Belgium,-18,2026-04-06,34
CR-V,Poland,-18,2026-04-06,30
CR-V,Nordics,-18,2026-04-06,41
CR-V,Portugal,-18,2026-04-06,30
HR-V,UK,-18,2026-04-06,81
HR-V,Germany,-18,2026-04-06,64
HR-V,France,-18,2026-04-06,47
HR-V,Italy,-18,2026-04-06,30
HR-V,Spain,-18,2026-04-06,27
HR-V,Netherlands,-18,2026-04-06,20
HR-V,Belgium,-18,2026-04-06,17
HR-V,Poland,-18,2026-04-06,15
HR-V,Nordics,-18,2026-04-06,20
HR-V,Portugal,-18,2026-04-06,15
Jazz,UK,-18,2026-04-06,98
Jazz,Germany,-18,2026-04-06,77
Jazz,France,-18,2026-04-06,57
Jazz,Italy,-18,2026-04-06,37
Jazz,Spain,-18,2026-04-06,33
Jazz,Netherlands,-18,2026-04-06,24
