assumption_type,base_model,market,offset_week,value
prod_to_ship,Civic,,,1
prod_to_ship,CR-V,,,1
prod_to_ship,HR-V,,,2
prod_to_ship,Jazz,,,2
prod_to_ship,e:Ny1,,,2
transit,,UK,,4
transit,,Ireland,,5
transit,,Germany,,5
transit,,France,,6
transit,,Italy,,10
transit,,Spain,,9
transit,,Netherlands,,5
transit,,Belgium,,6
transit,,Poland,,7
transit,,Nordics,,7
transit,,Portugal,,12
inbound_lag,,UK,,1
inbound_lag,,Ireland,,1
inbound_lag,,Germany,,1
inbound_lag,,France,,1
inbound_lag,,Italy,,2
inbound_lag,,Spain,,2
inbound_lag,,Netherlands,,1
inbound_lag,,Belgium,,1
inbound_lag,,Poland,,1
inbound_lag,,Nordics,,1
inbound_lag,,Portugal,,2
sell_through,,UK,2,0.4
sell_through,,UK,3,0.4
sell_through,,UK,4,0.2
sell_through,,Ireland,2,0.4
sell_through,,Ireland,3,0.4
sell_through,,Ireland,4,0.2
sell_through,,Germany,2,0.4
sell_through,,Germany,3,0.4
sell_through,,Germany,4,0.2
sell_through,,France,2,0.4
sell_through,,France,3,0.4
sell_through,,France,4,0.2
sell_through,,Italy,2,0.3
sell_through,,Italy,3,0.4
sell_through,,Italy,4,0.3
sell_through,,Spain,2,0.3
sell_through,,Spain,3,0.4
sell_through,,Spain,4,0.3
sell_through,,Netherlands,2,0.4
sell_through,,Netherlands,3,0.4
sell_through,,Netherlands,4,0.2
sell_through,,Belgium,2,0.4
sell_through,,Belgium,3,0.4
sell_through,,Belgium,4,0.2
sell_through,,Poland,2,0.4
sell_through,,Poland,3,0.4
sell_through,,Poland,4,0.2
sell_through,,Nordics,2,0.4
sell_through,,Nordics,3,0.4
sell_through,,Nordics,4,0.2
sell_through,,Portugal,2,0.3
sell_through,,Portugal,3,0.4
sell_through,,Portugal,4,0.3
