model,production_week,week_start_date,status,units
Civic,-26,2026-02-09,actual,672
CR-V,-26,2026-02-09,actual,672
HR-V,-26,2026-02-09,actual,336
Jazz,-26,2026-02-09,actual,403
e:Ny1,-26,2026-02-09,actual,125
Civic,-25,2026-02-16,actual,681
CR-V,-25,2026-02-16,actual,681
HR-V,-25,2026-02-16,actual,340
Jazz,-25,2026-02-16,actual,409
e:Ny1,-25,2026-02-16,actual,130
Civic,-24,2026-02-23,actual,688
CR-V,-24,2026-02-23,actual,688
HR-V,-24,2026-02-23,actual,344
Jazz,-24,2026-02-23,actual,412
e:Ny1,-24,2026-02-23,actual,134
Civic,-23,2026-03-02,actual,705
CR-V,-23,2026-03-02,actual,704
HR-V,-23,2026-03-02,actual,352
Jazz,-23,2026-03-02,actual,423
e:Ny1,-23,2026-03-02,actual,140
Civic,-22,2026-03-09,actual,705
CR-V,-22,2026-03-09,actual,705
HR-V,-22,2026-03-09,actual,353
Jazz,-22,2026-03-09,actual,423
e:Ny1,-22,2026-03-09,actual,144
Civic,-21,2026-03-16,actual,726
CR-V,-21,2026-03-16,actual,726
HR-V,-21,2026-03-16,actual,363
Jazz,-21,2026-03-16,actual,436
e:Ny1,-21,2026-03-16,actual,151
Civic,-20,2026-03-23,actual,729
CR-V,-20,2026-03-23,actual,729
HR-V,-20,2026-03-23,actual,365
Jazz,-20,2026-03-23,actual,438
e:Ny1,-20,2026-03-23,actual,155
Civic,-19,2026-03-30,actual,706
CR-V,-19,2026-03-30,actual,705
HR-V,-19,2026-03-30,actual,353
Jazz,-19,2026-03-30,actual,423
e:Ny1,-19,2026-03-30,actual,153
Civic,-18,2026-04-06,actual,701
CR-V,-18,2026-04-06,actual,701
HR-V,-18,2026-04-06,actual,350
Jazz,-18,2026-04-06,actual,420
e:Ny1,-18,2026-04-06,actual,155
Civic,-17,2026-04-13,actual,710
CR-V,-17,2026-04-13,actual,710
HR-V,-17,2026-04-13,actual,355
Jazz,-17,2026-04-13,actual,426
e:Ny1,-17,2026-04-13,actual,161
Civic,-16,2026-04-20,actual,670
CR-V,-16,2026-04-20,actual,670
HR-V,-16,2026-04-20,actual,335
Jazz,-16,2026-04-20,actual,402
e:Ny1,-16,2026-04-20,actual,155
Civic,-15,2026-04-27,actual,673
CR-V,-15,2026-04-27,actual,673
HR-V,-15,2026-04-27,actual,336
Jazz,-15,2026-04-27,actual,404
e:Ny1,-15,2026-04-27,actual,158
Civic,-14,2026-05-04,actual,693
CR-V,-14,2026-05-04,actual,693
HR-V,-14,2026-05-04,actual,346
Jazz,-14,2026-05-04,actual,416
e:Ny1,-14,2026-05-04,actual,166
Civic,-13,2026-05-11,actual,669
CR-V,-13,2026-05-11,actual,669
HR-V,-13,2026-05-11,actual,334
Jazz,-13,2026-05-11,actual,401
e:Ny1,-13,2026-05-11,actual,164
Civic,-12,2026-05-18,actual,675
CR-V,-12,2026-05-18,actual,675
HR-V,-12,2026-05-18,actual,338
Jazz,-12,2026-05-18,actual,405
e:Ny1,-12,2026-05-18,actual,168
Civic,-11,2026-05-25,actual,655
CR-V,-11,2026-05-25,actual,654
HR-V,-11,2026-05-25,actual,327
Jazz,-11,2026-05-25,actual,393
e:Ny1,-11,2026-05-25,actual,166
Civic,-10,2026-06-01,actual,677
CR-V,-10,2026-06-01,actual,677
HR-V,-10,2026-06-01,actual,338
Jazz,-10,2026-06-01,actual,406
e:Ny1,-10,2026-06-01,actual,175
Civic,-9,2026-06-08,actual,687
CR-V,-9,2026-06-08,actual,687
HR-V,-9,2026-06-08,actual,343
Jazz,-9,2026-06-08,actual,412
e:Ny1,-9,2026-06-08,actual,180
Civic,-8,2026-06-15,actual,660
CR-V,-8,2026-06-15,actual,660
HR-V,-8,2026-06-15,actual,330
Jazz,-8,2026-06-15,actual,396
e:Ny1,-8,2026-06-15,actual,177
Civic,-7,2026-06-22,actual,659
CR-V,-7,2026-06-22,actual,659
HR-V,-7,2026-06-22,actual,330
Jazz,-7,2026-06-22,actual,396
e:Ny1,-7,2026-06-22,actual,179
Civic,-6,2026-06-29,actual,666
CR-V,-6,2026-06-29,actual,665
HR-V,-6,2026-06-29,actual,333
Jazz,-6,2026-06-29,actual,399
e:Ny1,-6,2026-06-29,actual,184
Civic,-5,2026-07-06,actual,615
CR-V,-5,2026-07-06,actual,614
HR-V,-5,2026-07-06,actual,307
Jazz,-5,2026-07-06,actual,369
e:Ny1,-5,2026-07-06,actual,172
Civic,-4,2026-07-13,actual,629
CR-V,-4,2026-07-13,actual,629
HR-V,-4,2026-07-13,actual,315
Jazz,-4,2026-07-13,actual,377
e:Ny1,-4,2026-07-13,actual,179
Civic,-3,2026-07-20,actual,631
CR-V,-3,2026-07-20,actual,630
HR-V,-3,2026-07-20,actual,315
Jazz,-3,2026-07-20,actual,378
e:Ny1,-3,2026-07-20,actual,183
Civic,-2,2026-07-27,actual,637
CR-V,-2,2026-07-27,actual,637
HR-V,-2,2026-07-27,actual,319
Jazz,-2,2026-07-27,actual,382
e:Ny1,-2,2026-07-27,actual,187
Civic,-1,2026-08-03,actual,576
CR-V,-1,2026-08-03,actual,576
HR-V,-1,2026-08-03,actual,288
Jazz,-1,2026-08-03,actual,346
e:Ny1,-1,2026-08-03,actual,172
Civic,0,2026-08-10,actual,573
CR-V,0,2026-08-10,actual,573
HR-V,0,2026-08-10,actual,286
Jazz,0,2026-08-10,actual,344
e:Ny1,0,2026-08-10,actual,173
Civic,1,2026-08-17,firm,573
CR-V,1,2026-08-17,firm,573
HR-V,1,2026-08-17,firm,286
Jazz,1,2026-08-17,firm,343
e:Ny1,1,2026-08-17,firm,176
Civic,2,2026-08-24,firm,569
CR-V,2,2026-08-24,firm,569
HR-V,2,2026-08-24,firm,285
Jazz,2,2026-08-24,firm,341
e:Ny1,2,2026-08-24,firm,178
Civic,3,2026-08-31,firm,588
CR-V,3,2026-08-31,firm,588
HR-V,3,2026-08-31,firm,294
Jazz,3,2026-08-31,firm,352
e:Ny1,3,2026-08-31,firm,186
Civic,4,2026-09-07,firm,706
CR-V,4,2026-09-07,firm,706
HR-V,4,2026-09-07,firm,353
Jazz,4,2026-09-07,firm,423
e:Ny1,4,2026-09-07,firm,227
Civic,5,2026-09-14,firm,707
CR-V,5,2026-09-14,firm,707
HR-V,5,2026-09-14,firm,353
Jazz,5,2026-09-14,firm,424
e:Ny1,5,2026-09-14,firm,230
Civic,6,2026-09-21,firm,696
CR-V,6,2026-09-21,firm,695
HR-V,6,2026-09-21,firm,348
Jazz,6,2026-09-21,firm,417
e:Ny1,6,2026-09-21,firm,230
Civic,7,2026-09-28,firm,709
CR-V,7,2026-09-28,firm,709
HR-V,7,2026-09-28,firm,355
Jazz,7,2026-09-28,firm,425
e:Ny1,7,2026-09-28,firm,237
Civic,8,2026-10-05,firm,671
CR-V,8,2026-10-05,firm,671
HR-V,8,2026-10-05,firm,335
Jazz,8,2026-10-05,firm,402
e:Ny1,8,2026-10-05,firm,227
Civic,9,2026-10-12,planned,693
CR-V,9,2026-10-12,planned,693
HR-V,9,2026-10-12,planned,346
Jazz,9,2026-10-12,planned,416
e:Ny1,9,2026-10-12,planned,238
Civic,10,2026-10-19,planned,691
CR-V,10,2026-10-19,planned,691
HR-V,10,2026-10-19,planned,345
Jazz,10,2026-10-19,planned,415
e:Ny1,10,2026-10-19,planned,241
Civic,11,2026-10-26,planned,677
CR-V,11,2026-10-26,planned,676
HR-V,11,2026-10-26,planned,338
Jazz,11,2026-10-26,planned,406
e:Ny1,11,2026-10-26,planned,239
Civic,12,2026-11-02,planned,680
CR-V,12,2026-11-02,planned,680
HR-V,12,2026-11-02,planned,340
Jazz,12,2026-11-02,planned,408
e:Ny1,12,2026-11-02,planned,243
Civic,13,2026-11-09,planned,676
CR-V,13,2026-11-09,planned,676
HR-V,13,2026-11-09,planned,338
Jazz,13,2026-11-09,planned,406
e:Ny1,13,2026-11-09,planned,244
Civic,14,2026-11-16,planned,659
CR-V,14,2026-11-16,planned,659
HR-V,14,2026-11-16,planned,329
Jazz,14,2026-11-16,planned,395
e:Ny1,14,2026-11-16,planned,241
Civic,15,2026-11-23,planned,671
CR-V,15,2026-11-23,planned,671
HR-V,15,2026-11-23,planned,335
Jazz,15,2026-11-23,planned,402
e:Ny1,15,2026-11-23,planned,249
Civic,16,2026-11-30,planned,679
CR-V,16,2026-11-30,planned,679
HR-V,16,2026-11-30,planned,340
Jazz,16,2026-11-30,planned,408
e:Ny1,16,2026-11-30,planned,255
Civic,17,2026-12-07,planned,517
CR-V,17,2026-12-07,planned,517
HR-V,17,2026-12-07,planned,259
Jazz,17,2026-12-07,planned,310
e:Ny1,17,2026-12-07,planned,197
Civic,18,2026-12-14,planned,517
CR-V,18,2026-12-14,planned,517
HR-V,18,2026-12-14,planned,258
Jazz,18,2026-12-14,planned,310
e:Ny1,18,2026-12-14,planned,198
Civic,19,2026-12-21,planned,526
CR-V,19,2026-12-21,planned,525
HR-V,19,2026-12-21,planned,263
Jazz,19,2026-12-21,planned,315
e:Ny1,19,2026-12-21,planned,204
Civic,20,2026-12-28,planned,520
CR-V,20,2026-12-28,planned,520
HR-V,20,2026-12-28,planned,260
Jazz,20,2026-12-28,planned,312
e:Ny1,20,2026-12-28,planned,205
Civic,21,2027-01-04,planned,606
CR-V,21,2027-01-04,planned,606
HR-V,21,2027-01-04,planned,303
Jazz,21,2027-01-04,planned,364
e:Ny1,21,2027-01-04,planned,241
Civic,22,2027-01-11,planned,589
CR-V,22,2027-01-11,planned,589
HR-V,22,2027-01-11,planned,294
Jazz,22,2027-01-11,planned,353
e:Ny1,22,2027-01-11,planned,237
Civic,23,2027-01-18,planned,587
CR-V,23,2027-01-18,planned,587
HR-V,23,2027-01-18,planned,294
Jazz,23,2027-01-18,planned,353
e:Ny1,23,2027-01-18,planned,239
Civic,24,2027-01-25,planned,584
CR-V,24,2027-01-25,planned,584
HR-V,24,2027-01-25,planned,292
Jazz,24,2027-01-25,planned,351
e:Ny1,24,2027-01-25,planned,240
Civic,25,2027-02-01,planned,625
CR-V,25,2027-02-01,planned,625
HR-V,25,2027-02-01,planned,313
Jazz,25,2027-02-01,planned,375
e:Ny1,25,2027-02-01,planned,260
Civic,26,2027-02-08,planned,614
CR-V,26,2027-02-08,planned,614
HR-V,26,2027-02-08,planned,307
Jazz,26,2027-02-08,planned,368
e:Ny1,26,2027-02-08,planned,258
Civic,27,2027-02-15,planned,644
CR-V,27,2027-02-15,planned,644
HR-V,27,2027-02-15,planned,322
Jazz,27,2027-02-15,planned,386
e:Ny1,27,2027-02-15,planned,274
Civic,28,2027-02-22,planned,611
CR-V,28,2027-02-22,planned,611
HR-V,28,2027-02-22,planned,306
Jazz,28,2027-02-22,planned,367
e:Ny1,28,2027-02-22,planned,263
Civic,29,2027-03-01,planned,657
CR-V,29,2027-03-01,planned,657
HR-V,29,2027-03-01,planned,328
Jazz,29,2027-03-01,planned,394
e:Ny1,29,2027-03-01,planned,285
Civic,30,2027-03-08,planned,666
CR-V,30,2027-03-08,planned,665
HR-V,30,2027-03-08,planned,333
Jazz,30,2027-03-08,planned,399
e:Ny1,30,2027-03-08,planned,292
Civic,31,2027-03-15,planned,682
CR-V,31,2027-03-15,planned,682
HR-V,31,2027-03-15,planned,341
Jazz,31,2027-03-15,planned,410
e:Ny1,31,2027-03-15,planned,302
Civic,32,2027-03-22,planned,663
CR-V,32,2027-03-22,planned,663
HR-V,32,2027-03-22,planned,332
Jazz,32,2027-03-22,planned,398
e:Ny1,32,2027-03-22,planned,297
Civic,33,2027-03-29,planned,656
CR-V,33,2027-03-29,planned,656
HR-V,33,2027-03-29,planned,328
Jazz,33,2027-03-29,planned,393
e:Ny1,33,2027-03-29,planned,296
Civic,34,2027-04-05,planned,638
CR-V,34,2027-04-05,planned,638
HR-V,34,2027-04-05,planned,319
Jazz,34,2027-04-05,planned,382
e:Ny1,34,2027-04-05,planned,291
Civic,35,2027-04-12,planned,630
CR-V,35,2027-04-12,planned,630
HR-V,35,2027-04-12,planned,315
Jazz,35,2027-04-12,planned,378
e:Ny1,35,2027-04-12,planned,291
Civic,36,2027-04-19,planned,662
CR-V,36,2027-04-19,planned,662
HR-V,36,2027-04-19,planned,331
Jazz,36,2027-04-19,planned,398
e:Ny1,36,2027-04-19,planned,309
Civic,37,2027-04-26,planned,634
CR-V,37,2027-04-26,planned,634
HR-V,37,2027-04-26,planned,317
Jazz,37,2027-04-26,planned,380
e:Ny1,37,2027-04-26,planned,298
Civic,38,2027-05-03,planned,627
CR-V,38,2027-05-03,planned,627
HR-V,38,2027-05-03,planned,314
Jazz,38,2027-05-03,planned,377
e:Ny1,38,2027-05-03,planned,298
Civic,39,2027-05-10,planned,643
CR-V,39,2027-05-10,planned,643
HR-V,39,2027-05-10,planned,321
Jazz,39,2027-05-10,planned,385
e:Ny1,39,2027-05-10,planned,308
Civic,40,2027-05-17,planned,626
CR-V,40,2027-05-17,planned,626
HR-V,40,2027-05-17,planned,313
Jazz,40,2027-05-17,planned,376
e:Ny1,40,2027-05-17,planned,303
Civic,41,2027-05-24,planned,626
CR-V,41,2027-05-24,planned,626
HR-V,41,2027-05-24,planned,313
Jazz,41,2027-05-24,planned,375
e:Ny1,41,2027-05-24,planned,306
Civic,42,2027-05-31,planned,624
CR-V,42,2027-05-31,planned,624
HR-V,42,2027-05-31,planned,312
Jazz,42,2027-05-31,planned,375
e:Ny1,42,2027-05-31,planned,308
Civic,43,2027-06-07,planned,618
CR-V,43,2027-06-07,planned,618
HR-V,43,2027-06-07,planned,309
Jazz,43,2027-06-07,planned,370
e:Ny1,43,2027-06-07,planned,307
Civic,44,2027-06-14,planned,643
CR-V,44,2027-06-14,planned,643
HR-V,44,2027-06-14,planned,322
Jazz,44,2027-06-14,planned,386
e:Ny1,44,2027-06-14,planned,323
Civic,45,2027-06-21,planned,634
CR-V,45,2027-06-21,planned,633
HR-V,45,2027-06-21,planned,317
Jazz,45,2027-06-21,planned,380
e:Ny1,45,2027-06-21,planned,321
Civic,46,2027-06-28,planned,613
CR-V,46,2027-06-28,planned,613
HR-V,46,2027-06-28,planned,306
Jazz,46,2027-06-28,planned,367
e:Ny1,46,2027-06-28,planned,313
Civic,47,2027-07-05,planned,576
CR-V,47,2027-07-05,planned,576
