model,market,calendar_week,week_start_date,units
Civic,UK,-26,2026-02-09,134
Civic,Germany,-26,2026-02-09,113
Civic,France,-26,2026-02-09,93
Civic,Italy,-26,2026-02-09,84
Civic,Spain,-26,2026-02-09,69
Civic,Netherlands,-26,2026-02-09,47
Civic,Belgium,-26,2026-02-09,34
Civic,Poland,-26,2026-02-09,34
Civic,Nordics,-26,2026-02-09,31
Civic,Portugal,-26,2026-02-09,30
CR-V,UK,-26,2026-02-09,134
CR-V,Germany,-26,2026-02-09,113
CR-V,France,-26,2026-02-09,93
CR-V,Italy,-26,2026-02-09,84
CR-V,Spain,-26,2026-02-09,69
CR-V,Netherlands,-26,2026-02-09,47
CR-V,Belgium,-26,2026-02-09,34
CR-V,Poland,-26,2026-02-09,34
CR-V,Nordics,-26,2026-02-09,31
CR-V,Portugal,-26,2026-02-09,30
HR-V,UK,-26,2026-02-09,72
HR-V,Germany,-26,2026-02-09,63
HR-V,France,-26,2026-02-09,51
HR-V,Italy,-26,2026-02-09,30
HR-V,Spain,-26,2026-02-09,21
HR-V,Netherlands,-26,2026-02-09,20
HR-V,Belgium,-26,2026-02-09,13
HR-V,Poland,-26,2026-02-09,17
HR-V,Nordics,-26,2026-02-09,24
HR-V,Portugal,-26,2026-02-09,21
Jazz,UK,-26,2026-02-09,86
Jazz,Germany,-26,2026-02-09,77
Jazz,France,-26,2026-02-09,61
Jazz,Italy,-26,2026-02-09,35
Jazz,Spain,-26,2026-02-09,25
Jazz,Netherlands,-26,2026-02-09,24
Jazz,Belgium,-26,2026-02-09,15
Jazz,Poland,-26,2026-02-09,21
Jazz,Nordics,-26,2026-02-09,30
Jazz,Portugal,-26,2026-02-09,24
e:Ny1,UK,-26,2026-02-09,27
e:Ny1,Germany,-26,2026-02-09,23
e:Ny1,France,-26,2026-02-09,18
e:Ny1,Netherlands,-26,2026-02-09,7
e:Ny1,Belgium,-26,2026-02-09,4
e:Ny1,Nordics,-26,2026-02-09,9
Civic,UK,-25,2026-02-16,137
Civic,Germany,-25,2026-02-16,107
Civic,France,-25,2026-02-16,83
Civic,Italy,-25,2026-02-16,53
Civic,Spain,-25,2026-02-16,49
Civic,Netherlands,-25,2026-02-16,26
Civic,Belgium,-25,2026-02-16,21
Civic,Poland,-25,2026-02-16,17
Civic,Nordics,-25,2026-02-16,40
Civic,Portugal,-25,2026-02-16,27
CR-V,UK,-25,2026-02-16,137
CR-V,Germany,-25,2026-02-16,107
CR-V,France,-25,2026-02-16,83
CR-V,Italy,-25,2026-02-16,53
CR-V,Spain,-25,2026-02-16,49
CR-V,Netherlands,-25,2026-02-16,26
CR-V,Belgium,-25,2026-02-16,21
CR-V,Poland,-25,2026-02-16,17
CR-V,Nordics,-25,2026-02-16,40
CR-V,Portugal,-25,2026-02-16,27
HR-V,UK,-25,2026-02-16,67
HR-V,Germany,-25,2026-02-16,57
HR-V,France,-25,2026-02-16,47
HR-V,Italy,-25,2026-02-16,42
HR-V,Spain,-25,2026-02-16,35
HR-V,Netherlands,-25,2026-02-16,23
HR-V,Belgium,-25,2026-02-16,17
HR-V,Poland,-25,2026-02-16,17
HR-V,Nordics,-25,2026-02-16,15
HR-V,Portugal,-25,2026-02-16,15
Jazz,UK,-25,2026-02-16,80
Jazz,Germany,-25,2026-02-16,67
Jazz,France,-25,2026-02-16,57
Jazz,Italy,-25,2026-02-16,51
Jazz,Spain,-25,2026-02-16,41
Jazz,Netherlands,-25,2026-02-16,28
Jazz,Belgium,-25,2026-02-16,21
Jazz,Poland,-25,2026-02-16,21
Jazz,Nordics,-25,2026-02-16,18
Jazz,Portugal,-25,2026-02-16,18
e:Ny1,UK,-25,2026-02-16,26
e:Ny1,Germany,-25,2026-02-16,21
e:Ny1,France,-25,2026-02-16,17
e:Ny1,Netherlands,-25,2026-02-16,9
e:Ny1,Belgium,-25,2026-02-16,6
e:Ny1,Nordics,-25,2026-02-16,5
Civic,UK,-24,2026-02-23,131
Civic,Germany,-24,2026-02-23,108
Civic,France,-24,2026-02-23,79
Civic,Italy,-24,2026-02-23,76
Civic,Spain,-24,2026-02-23,68
Civic,Netherlands,-24,2026-02-23,40
Civic,Belgium,-24,2026-02-23,33
Civic,Poland,-24,2026-02-23,30
Civic,Nordics,-24,2026-02-23,25
Civic,Portugal,-24,2026-02-23,35
CR-V,UK,-24,2026-02-23,131
CR-V,Germany,-24,2026-02-23,108
CR-V,France,-24,2026-02-23,79
CR-V,Italy,-24,2026-02-23,76
CR-V,Spain,-24,2026-02-23,68
CR-V,Netherlands,-24,2026-02-23,40
CR-V,Belgium,-24,2026-02-23,33
CR-V,Poland,-24,2026-02-23,30
CR-V,Nordics,-24,2026-02-23,25
CR-V,Portugal,-24,2026-02-23,35
HR-V,UK,-24,2026-02-23,68
HR-V,Germany,-24,2026-02-23,53
HR-V,France,-24,2026-02-23,42
HR-V,Italy,-24,2026-02-23,26
HR-V,Spain,-24,2026-02-23,25
HR-V,Netherlands,-24,2026-02-23,13
HR-V,Belgium,-24,2026-02-23,10
HR-V,Poland,-24,2026-02-23,9
HR-V,Nordics,-24,2026-02-23,21
HR-V,Portugal,-24,2026-02-23,13
Jazz,UK,-24,2026-02-23,82
Jazz,Germany,-24,2026-02-23,64
Jazz,France,-24,2026-02-23,50
Jazz,Italy,-24,2026-02-23,31
Jazz,Spain,-24,2026-02-23,30
Jazz,Netherlands,-24,2026-02-23,16
Jazz,Belgium,-24,2026-02-23,12
Jazz,Poland,-24,2026-02-23,10
Jazz,Nordics,-24,2026-02-23,24
Jazz,Portugal,-24,2026-02-23,16
e:Ny1,UK,-24,2026-02-23,28
e:Ny1,Germany,-24,2026-02-23,21
e:Ny1,France,-24,2026-02-23,16
e:Ny1,Netherlands,-24,2026-02-23,5
e:Ny1,Belgium,-24,2026-02-23,4
e:Ny1,Nordics,-24,2026-02-23,8
Civic,UK,-23,2026-03-02,145
Civic,Germany,-23,2026-03-02,104
Civic,France,-23,2026-03-02,79
Civic,Italy,-23,2026-03-02,50
Civic,Spain,-23,2026-03-02,41
Civic,Netherlands,-23,2026-03-02,27
Civic,Belgium,-23,2026-03-02,23
Civic,Poland,-23,2026-03-02,30
Civic,Nordics,-23,2026-03-02,41
Civic,Portugal,-23,2026-03-02,27
CR-V,UK,-23,2026-03-02,145
CR-V,Germany,-23,2026-03-02,104
CR-V,France,-23,2026-03-02,79
CR-V,Italy,-23,2026-03-02,50
CR-V,Spain,-23,2026-03-02,41
CR-V,Netherlands,-23,2026-03-02,27
CR-V,Belgium,-23,2026-03-02,23
CR-V,Poland,-23,2026-03-02,30
CR-V,Nordics,-23,2026-03-02,41
CR-V,Portugal,-23,2026-03-02,27
HR-V,UK,-23,2026-03-02,66
HR-V,Germany,-23,2026-03-02,53
HR-V,France,-23,2026-03-02,39
HR-V,Italy,-23,2026-03-02,39
HR-V,Spain,-23,2026-03-02,33
HR-V,Netherlands,-23,2026-03-02,21
HR-V,Belgium,-23,2026-03-02,17
HR-V,Poland,-23,2026-03-02,15
HR-V,Nordics,-23,2026-03-02,12
HR-V,Portugal,-23,2026-03-02,18
Jazz,UK,-23,2026-03-02,78
Jazz,Germany,-23,2026-03-02,66
Jazz,France,-23,2026-03-02,47
Jazz,Italy,-23,2026-03-02,46
Jazz,Spain,-23,2026-03-02,40
